    PID TTY      STAT   TIME COMMAND
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00  \_ [rcu_gp]
      4 ?        I<     0:00  \_ [rcu_par_gp]
      6 ?        I<     0:00  \_ [kworker/0:0H-kblockd]
      8 ?        I<     0:00  \_ [mm_percpu_wq]
      9 ?        S      1:08  \_ [ksoftirqd/0]
     10 ?        I      6:06  \_ [rcu_preempt]
     11 ?        S      0:00  \_ [rcub/0]
     12 ?        S      0:00  \_ [rcuc/0]
     13 ?        S      0:03  \_ [migration/0]
     14 ?        S      0:00  \_ [idle_inject/0]
     16 ?        S      0:00  \_ [cpuhp/0]
     17 ?        S      0:00  \_ [cpuhp/1]
     18 ?        S      0:00  \_ [idle_inject/1]
     19 ?        S      0:03  \_ [migration/1]
     20 ?        S      0:00  \_ [rcuc/1]
     21 ?        S      0:58  \_ [ksoftirqd/1]
     23 ?        I<     0:00  \_ [kworker/1:0H-kblockd]
     24 ?        S      0:00  \_ [cpuhp/2]
     25 ?        S      0:00  \_ [idle_inject/2]
     26 ?        S      0:03  \_ [migration/2]
     27 ?        S      0:00  \_ [rcuc/2]
     28 ?        S      0:59  \_ [ksoftirqd/2]
     30 ?        I<     0:00  \_ [kworker/2:0H-kblockd]
     31 ?        S      0:00  \_ [cpuhp/3]
     32 ?        S      0:00  \_ [idle_inject/3]
     33 ?        S      0:03  \_ [migration/3]
     34 ?        S      0:00  \_ [rcuc/3]
     35 ?        S      1:28  \_ [ksoftirqd/3]
     37 ?        I<     0:00  \_ [kworker/3:0H-kblockd]
     38 ?        S      0:00  \_ [cpuhp/4]
     39 ?        S      0:00  \_ [idle_inject/4]
     40 ?        S      0:03  \_ [migration/4]
     41 ?        S      0:00  \_ [rcuc/4]
     42 ?        S      1:06  \_ [ksoftirqd/4]
     44 ?        I<     0:00  \_ [kworker/4:0H]
     45 ?        S      0:00  \_ [cpuhp/5]
     46 ?        S      0:00  \_ [idle_inject/5]
     47 ?        S      0:03  \_ [migration/5]
     48 ?        S      0:00  \_ [rcuc/5]
     49 ?        S      1:04  \_ [ksoftirqd/5]
